,Type,0
2019-01-01,Building,71.8094045755224
2019-01-01,Hotel,66.9410037711041
2019-01-01,Mall,51.95640618066455
2019-01-01,Market,43.084791051807635
2019-01-01,Terminal,48.558328230283436
2019-02-01,Building,64.77494985407048
2019-02-01,Hotel,61.42345374005534
2019-02-01,Mall,45.937857595392835
2019-02-01,Market,40.23407035196383
2019-02-01,Terminal,43.47750034332276
2019-03-01,Building,32.41703231273933
2019-03-01,Hotel,33.62609792839797
2019-03-01,Mall,29.906177957751222
2019-03-01,Market,28.806785437386612
2019-03-01,Terminal,27.294499754905708
2019-04-01,Building,67.68053445144083
2019-04-01,Hotel,61.331428437005904
2019-04-01,Mall,48.080343999774975
2019-04-01,Market,39.42887907449813
2019-04-01,Terminal,45.774499297142036
2019-05-01,Building,67.5988093208547
2019-05-01,Hotel,62.53360367221146
2019-05-01,Mall,48.863513073302606
2019-05-01,Market,41.396792419697604
2019-05-01,Terminal,44.82150148218736
2019-06-01,Building,55.529747582355704
2019-06-01,Hotel,53.48089535370675
2019-06-01,Mall,41.669579032056504
2019-06-01,Market,37.43762632755105
2019-06-01,Terminal,41.8485001206398
2019-07-01,Building,65.08828779138162
2019-07-01,Hotel,60.02159144707817
2019-07-01,Mall,47.09631253553697
2019-07-01,Market,41.46271535473659
2019-07-01,Terminal,43.81524989829147
2019-08-01,Building,56.58684810113532
2019-08-01,Hotel,52.21412640242967
2019-08-01,Mall,41.6429691823266
2019-08-01,Market,36.151804686045764
2019-08-01,Terminal,38.339922506681916
2019-09-01,Building,58.3957635311422
2019-09-01,Hotel,54.827385430683265
2019-09-01,Mall,43.26958241728712
2019-09-01,Market,38.13669927286728
2019-09-01,Terminal,41.733060738094515
2019-10-01,Building,58.89360889688111
2019-10-01,Hotel,54.40642870040167
2019-10-01,Mall,43.41539603933217
2019-10-01,Market,38.04508571736005
2019-10-01,Terminal,40.35350021123886
2019-11-01,Building,57.28946082841027
2019-11-01,Hotel,52.60833317892892
2019-11-01,Mall,40.22967479717407
2019-11-01,Market,35.8055591256139
2019-11-01,Terminal,35.914003761788436
2019-12-01,Building,46.733589465262945
2019-12-01,Hotel,44.23995879672997
2019-12-01,Mall,34.67528244626267
2019-12-01,Market,34.25234831617879
2019-12-01,Terminal,37.020500159263605
2020-01-01,Building,56.19672563640115
2020-01-01,Hotel,54.670007380588686
2020-01-01,Mall,41.19164964596074
2020-01-01,Market,36.09884031739083
2020-01-01,Terminal,38.54930887896357
2020-02-01,Building,0.0
2020-02-01,Hotel,3.309761955624535
2020-02-01,Mall,1.3693975885230376
2020-02-01,Market,1.7282608799312424
2020-02-01,Terminal,3.5135000586509726
2020-03-01,Building,60.10112238067678
2020-03-01,Hotel,52.85738104865665
2020-03-01,Mall,40.413515216430355
2020-03-01,Market,33.937026422566746
2020-03-01,Terminal,39.43251426715074
2020-04-01,Building,51.71322084103852
2020-04-01,Hotel,49.87700661038159
2020-04-01,Mall,38.087596819175
2020-04-01,Market,35.20043736996259
2020-04-01,Terminal,39.907511900483875
2020-05-01,Building,62.56349098616447
2020-05-01,Hotel,55.25230548107428
2020-05-01,Mall,41.87935723098541
2020-05-01,Market,38.060206840591846
2020-05-01,Terminal,40.39027913916861
2020-06-01,Building,53.66878763623785
2020-06-01,Hotel,47.65904758090065
2020-06-01,Mall,38.369759042579005
2020-06-01,Market,36.92937028371565
2020-06-01,Terminal,35.68450026512146
2020-07-01,Building,59.51381679985587
2020-07-01,Hotel,52.4811218560828
2020-07-01,Mall,41.07331495474698
2020-07-01,Market,36.91739401578983
2020-07-01,Terminal,39.644499886035916
2020-08-01,Building,56.56569954111189
2020-08-01,Hotel,50.17606012972796
2020-08-01,Mall,40.50982498236886
2020-08-01,Market,36.532056179631105
2020-08-01,Terminal,41.7590256518586
2020-09-01,Building,61.017007892036894
2020-09-01,Hotel,54.746775541058504
2020-09-01,Mall,41.438818875219305
2020-09-01,Market,36.29754124636093
2020-09-01,Terminal,41.09074103726933
2020-10-01,Building,53.64028294800793
2020-10-01,Hotel,48.20856082346854
2020-10-01,Mall,38.14721382598976
2020-10-01,Market,37.17481523589155
2020-10-01,Terminal,39.83149995803832
2020-11-01,Building,81.35909172634794
2020-11-01,Hotel,66.92686429300686
2020-11-01,Mall,48.7314136104746
2020-11-01,Market,39.064469275552604
2020-11-01,Terminal,41.46700048446655
2020-12-01,Building,0.0
2020-12-01,Hotel,2.0376190912155883
2020-12-01,Mall,0.0
2020-12-01,Market,0.6910869556924574
2020-12-01,Terminal,0.0
2021-01-01,Building,0.0
2021-01-01,Hotel,2.3004762104579375
2021-01-01,Mall,0.0
2021-01-01,Market,0.5103120106429746
2021-01-01,Terminal,0.0
2021-02-01,Building,10.796363734235667
2021-02-01,Hotel,16.222381046840123
2021-02-01,Mall,12.20176338073427
2021-02-01,Market,12.09357045298208
2021-02-01,Terminal,5.257500028610231
2021-03-01,Building,57.83507667349788
2021-03-01,Hotel,54.18717128376562
2021-03-01,Mall,42.35663941300904
2021-03-01,Market,37.608616979680434
2021-03-01,Terminal,40.21950033903122
2021-04-01,Building,61.73677862434335
2021-04-01,Hotel,56.00500006902786
2021-04-01,Mall,41.66486005555629
2021-04-01,Market,36.489171499239475
2021-04-01,Terminal,39.94771508393872
2021-05-01,Building,56.90081960326853
2021-05-01,Hotel,53.12309533073788
2021-05-01,Mall,38.9396385399692
2021-05-01,Market,36.24246951622148
2021-05-01,Terminal,35.486500072479245
2021-06-01,Building,50.27562452405563
2021-06-01,Hotel,47.280952317374094
2021-06-01,Mall,37.608072315353944
2021-06-01,Market,36.42835098439085
2021-06-01,Terminal,37.59854518354609
